bhk,type,locality,region,area,price,price_unit,status,age,price_in_inr,price_per_sqft
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Proviso Sai Proviso Icon Greater Kharghar Roadpali,Kalamboli,750,45.0,L,Ready to move,Resale,4500000.0,6000.0
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Proviso SaiProviso County,Panvel,677,30.0,L,Ready to move,Resale,3000000.0,4431.314623338257
1,Apartment,Proviso SaiProviso County,Panvel,650,35.0,L,Under Construction,Resale,3500000.0,5384.615384615385
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
3,Apartment,Kalpataru Kalpataru Elitus,Mulund West,1015,2.45,Cr,Under Construction,New,24500000.0,24137.931034482757
3,Apartment,Kalpataru Kalpataru Elitus,Mulund West,1116,2.85,Cr,Under Construction,New,28500000.0,25537.63440860215
3,Apartment,Kalpataru Kalpataru Elitus,Mulund West,1116,2.85,Cr,Under Construction,New,28500000.0,25537.63440860215
3,Apartment,Kalpataru Kalpataru Elitus,Mulund West,1056,2.45,Cr,Under Construction,New,24500000.0,23200.757575757576
3,Apartment,Kalpataru Kalpataru Elitus,Mulund West,1056,2.45,Cr,Under Construction,New,24500000.0,23200.757575757576
3,Apartment,Kalpataru Kalpataru Elitus,Mulund West,1015,2.45,Cr,Under Construction,New,24500000.0,24137.931034482757
3,Apartment,Kalpataru Kalpataru Elitus,Mulund West,1015,2.45,Cr,Under Construction,New,24500000.0,24137.931034482757
3,Apartment,Kalpataru Kalpataru Elitus,Mulund West,1116,2.85,Cr,Under Construction,New,28500000.0,25537.63440860215
3,Apartment,Kalpataru Kalpataru Elitus,Mulund West,1056,2.45,Cr,Under Construction,New,24500000.0,23200.757575757576
3,Apartment,Kalpataru Kalpataru Elitus,Mulund West,1015,2.45,Cr,Under Construction,New,24500000.0,24137.931034482757
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,1076,3.19,Cr,Under Construction,New,31900000.0,29646.840148698884
